SensorID,MeasurementType,MeasurementValue,MeasurementDateTime,FarmName,Location,UserID,PlantName,HarvestDate,Quantity,SystemName,OptimalPH,OptimalHumidity,SensorType,SystemID,UserName,Email,PasswordHash,MaintenanceDate,Description,Type
6.0,Temperature,59.9,2023-11-17 05:59:40,,,,,,,,,,,,,,,,,
20.0,pH,21.93,2023-11-28 07:19:16,,,,,,,,,,,,,,,,,
54.0,pH,30.24,2023-02-04 03:22:45,,,,,,,,,,,,,,,,,
78.0,Temperature,10.59,2023-04-02 14:55:08,,,,,,,,,,,,,,,,,
14.0,Humidity,17.01,2023-12-06 06:33:12,,,,,,,,,,,,,,,,,
96.0,Temperature,70.58,2023-10-18 06:35:16,,,,,,,,,,,,,,,,,
51.0,Temperature,58.63,2023-03-28 20:37:24,,,,,,,,,,,,,,,,,
90.0,Temperature,32.64,2023-10-20 23:00:16,,,,,,,,,,,,,,,,,
37.0,Temperature,86.74,2023-05-26 13:25:32,,,,,,,,,,,,,,,,,
82.0,Humidity,87.07,2023-01-19 08:28:17,,,,,,,,,,,,,,,,,
86.0,Humidity,71.75,2023-06-12 17:57:37,,,,,,,,,,,,,,,,,
42.0,Humidity,73.88,2023-03-03 23:49:12,,,,,,,,,,,,,,,,,
68.0,Temperature,64.06,2023-02-26 19:30:42,,,,,,,,,,,,,,,,,
67.0,pH,67.43,2023-06-02 02:34:24,,,,,,,,,,,,,,,,,
91.0,Humidity,84.71,2023-10-03 20:25:37,,,,,,,,,,,,,,,,,
29.0,pH,51.35,2023-02-27 02:16:52,,,,,,,,,,,,,,,,,
49.0,pH,67.53,2023-09-08 22:30:24,,,,,,,,,,,,,,,,,
44.0,pH,13.73,2023-10-13 18:15:47,,,,,,,,,,,,,,,,,
95.0,pH,92.53,2023-08-01 03:20:33,,,,,,,,,,,,,,,,,
9.0,pH,42.12,2023-08-07 12:26:36,,,,,,,,,,,,,,,,,
97.0,pH,18.26,2023-06-09 07:36:48,,,,,,,,,,,,,,,,,
37.0,Temperature,93.36,2023-09-26 11:28:11,,,,,,,,,,,,,,,,,
47.0,pH,89.99,2023-06-07 11:39:15,,,,,,,,,,,,,,,,,
91.0,Temperature,64.33,2023-12-12 18:49:08,,,,,,,,,,,,,,,,,
51.0,pH,45.93,2023-05-26 03:43:58,,,,,,,,,,,,,,,,,
23.0,Temperature,24.35,2023-01-27 16:17:47,,,,,,,,,,,,,,,,,
58.0,pH,79.35,2023-06-21 08:44:11,,,,,,,,,,,,,,,,,
82.0,pH,16.78,2023-10-03 07:12:14,,,,,,,,,,,,,,,,,
21.0,pH,72.81,2023-03-14 05:38:43,,,,,,,,,,,,,,,,,
3.0,Humidity,71.3,2023-01-21 09:43:38,,,,,,,,,,,,,,,,,
89.0,Humidity,81.22,2023-08-11 22:20:54,,,,,,,,,,,,,,,,,
33.0,pH,20.24,2023-07-01 17:52:06,,,,,,,,,,,,,,,,,
71.0,pH,93.37,2023-11-23 10:41:59,,,,,,,,,,,,,,,,,
64.0,pH,75.75,2023-09-07 15:52:09,,,,,,,,,,,,,,,,,
76.0,Temperature,18.55,2023-03-12 15:14:27,,,,,,,,,,,,,,,,,
2.0,pH,32.6,2023-06-22 19:14:44,,,,,,,,,,,,,,,,,
11.0,Temperature,18.6,2023-12-12 20:22:22,,,,,,,,,,,,,,,,,
32.0,pH,70.5,2023-05-22 12:36:11,,,,,,,,,,,,,,,,,
54.0,Humidity,22.94,2023-04-27 23:30:57,,,,,,,,,,,,,,,,,
